ActualRel ActualDeg KINGDeg IBD1 IBD2 ERSADeg ERSARel PONDDeg
AV 2 2 0.4715 0.0086 2 HS 2 
AV 2 2 0.4653 0.0091 3 CO 2 
AV 2 2 0.4971 0.0016 3 CO 2 
FS FS FS 0.4565 0.3685 FS FS FS 
FS FS FS 0.5037 0.2404 FS FS FS 
PHS 2 2 0.6059 0.0162 2 AV 2 
PHS 2 2 0.5105 0.0082 2 AV 2 
HV 3 3 0.2727 0.0 3 HV 3 
HC 4 3 0.2013 0.0026 4 NA 4 
HC 4 4 0.1519 0.0043 4 NA 4 
HC 4 4 0.1465 0.0012 4 NA 4 
HC 4 4 0.1392 0.0 4 NA 4 
HV 3 3 0.2762 0.0 3 HV 3 
HC 4 3 0.2067 0.0 4 NA 4 
HC 4 4 0.1331 0.0018 4 NA 4 
HC 4 3 0.1864 0.0 4 NA 4 
HC 4 4 0.1232 0.0 4 NA 4 
HV 3 3 0.2851 0.0012 3 CO 3 
HC 4 3 0.1773 0.0053 4 NA 4 
HC 4 3 0.1851 0.0018 4 NA 4 
HC 4 4 0.1489 0.0012 4 NA 4 
HC 4 4 0.1606 0.0 4 NA 4 
HV 3 3 0.1902 0.0032 4 NA 4 
HC 4 3 0.1794 0.0 3 CO 4 
HC 4 UN 0.0882 0.0 UN NA 4 
HC 4 4 0.1204 0.0 4 NA 4 
HC 4 4 0.1069 0.0 UN NA 4 
HV 3 2 0.3393 0.0075 3 CO 3 
HV 3 3 0.2773 0.0057 3 CO 3 
HV 3 3 0.276 0.0063 ERSAdeg ERSArel 3 
HV 3 3 0.2527 0.0 3 CO 3 
PHS 2 2 0.5699 0.0048 FS FS 2 
HV 3 3 0.2282 0.0 3 HV 4 
HV 3 3 0.2725 0.0 3 HV 3 
HV 3 3 0.3271 0.0 3 CO 3 
HV 3 3 0.2405 0.0043 3 HV 4 
PHS 2 2 0.6254 0.0014 FS FS 2 
HV 3 3 0.3429 0.0038 3 GGP 3 
HV 3 3 0.3077 0.0042 3 GGP 3 
HV 3 2 0.3797 0.0095 2 HS 3 
HV 3 3 0.2206 0.0035 3 CO 4 
PHS 2 2 0.5789 0.0187 2 AV 2 
HV 3 3 0.2831 0.0056 3 HV 3 
HV 3 2 0.3514 0.0029 3 GGP 3 
HV 3 3 0.2999 0.0087 3 CO 3 
HV 3 3 0.1904 0.008 4 NA 4 
FS FS FS 0.4901 0.2277 FS FS FS 
AV 2 2 0.5006 0.0016 3 CO 2 
AV 2 2 0.4777 0.0101 3 CO 2 
AV 2 2 0.5078 0.0073 3 CO 2 
AV 2 2 0.5046 0.0016 3 CO 2 
FS FS FS 0.5047 0.2135 FS FS FS 
AV 2 2 0.4734 0.0 3 CO 2 
AV 2 2 0.4434 0.0031 3 CO 2 
AV 2 2 0.4654 0.01 3 CO 2 
AV 2 2 0.4841 0.0 3 CO 2 
PHS 2 2 0.5748 0.0307 2 AV 2 
HV 3 2 0.3707 0.0 3 CO 3 
HV 3 2 0.3381 0.0125 3 CO 3 
HV 3 3 0.3031 0.0193 3 CO 3 
HV 3 3 0.3005 0.0 3 CO 3 
FS FS FS 0.481 0.1997 FS FS FS 
PHS 2 2 0.5062 0.0138 2 HS 2 
PHS 2 2 0.465 0.0079 2 HS 2 
PO PO PO 0.9794 0.0186 PO PO PO 
GP 2 2 0.5531 0.0134 2 HS 2 
GP 2 2 0.5106 0.0104 2 HS 2 
GP 2 2 0.4618 0.0084 3 CO 2 
GP 2 2 0.5895 0.0056 2 HS 2 
GP 2 2 0.4739 0.0162 2 HS 2 
GP 2 2 0.5831 0.0124 3 CO 2 
PO PO PO 0.9794 0.0178 PO PO PO 
PO PO PO 0.9747 0.0226 PO PO PO 
MHS 2 2 0.5086 0.0032 2 HS 2 
HV 3 3 0.3104 0.0048 3 CO 3 
HV 3 3 0.2892 0.0023 3 CO 3 
HV 3 3 0.2485 0.0 3 CO 3 
HV 3 3 0.3358 0.0072 3 CO 3 
HV 3 3 0.2822 0.0032 3 CO 3 
HV 3 3 0.3249 0.0 3 CO 3 
MHS 2 2 0.5057 0.018 2 HS 2 
HV 3 3 0.3241 0.0024 3 CO 3 
HV 3 3 0.2544 0.0021 3 CO 3 
HV 3 3 0.2466 0.0 3 CO 3 
HV 3 3 0.3392 0.0033 3 CO 3 
HV 3 3 0.3186 0.0 3 CO 3 
HV 3 3 0.3175 0.0071 3 CO 3 
FS FS FS 0.5435 0.2682 FS FS FS 
PO PO PO 0.9972 0.0027 PO PO PO 
PO PO PO 0.9888 0.0098 PO PO PO 
PO PO PO 0.9926 0.0059 PO PO PO 
MHS 2 2 0.4969 0.0178 3 CO 2 
MHS 2 2 0.5559 0.0013 2 HS 2 
MHS 2 2 0.6325 0.002 2 HS 2 
PO PO PO 0.9817 0.016 PO PO PO 
PO PO PO 0.9802 0.0181 PO PO PO 
PO PO PO 0.9813 0.0179 PO PO PO 
PO PO PO 0.9911 0.0072 PO PO PO 
PO PO PO 0.9827 0.0173 PO PO PO 
MHS 2 2 0.492 0.0057 3 CO 2 
PO PO PO 0.9851 0.0134 PO PO PO 
PO PO PO 0.9905 0.0071 PO PO PO 
PO PO PO 0.9835 0.0151 PO PO PO 
GP 2 2 0.495 0.0078 2 HS 2 
GP 2 2 0.5401 0.008 2 HS 2 
GP 2 2 0.5773 0.0063 2 HS 2 
GGP 3 3 0.318 0.0 3 CO 3 
GGP 3 3 0.2984 0.0011 3 CO 3 
GP 2 2 0.4891 0.0011 3 CO 2 
PO PO PO 0.9769 0.022 PO PO PO 
GP 2 2 0.4646 0.0077 2 AV 2 
GP 2 2 0.3399 0.0116 3 HV 3 
GP 2 2 0.6138 0.0238 2 AV 2 
GGP 3 2 0.3277 0.0224 3 CO 3 
GP 2 2 0.5047 0.0061 2 HS 2 
PO PO PO 0.9822 0.0166 PO PO PO 
PO PO PO 0.9804 0.0166 PO PO PO 
MHS 2 2 0.5365 0.0051 2 HS 2 
HV 3 3 0.2924 0.0 3 CO 3 
HV 3 3 0.2066 0.0011 4 NA 4 
HV 3 3 0.3241 0.0035 3 CO 3 
HV 3 3 0.3215 0.0 3 CO 3 
MHS 2 2 0.4873 0.0157 2 HS 2 
HV 3 3 0.2761 0.0 3 HV 3 
HV 3 3 0.2223 0.0056 4 NA 4 
HV 3 2 0.3326 0.012 3 CO 3 
HV 3 3 0.2841 0.0 3 CO 3 
MHS 2 2 0.4758 0.0065 3 CO 2 
HV 3 3 0.2406 0.0018 3 HV 4 
HC 4 4 0.1238 0.0 4 NA 4 
HC 4 4 0.1217 0.0011 4 NA 4 
HC 4 3 0.2044 0.0026 4 NA 4 
HC 4 3 0.1861 0.0018 4 NA 4 
HV 3 3 0.281 0.0067 3 CO 3 
HC 4 4 0.144 0.0015 4 NA 4 
HC 4 4 0.131 0.0 4 NA 4 
HC 4 3 0.214 0.0 4 NA 4 
HC 4 3 0.2318 0.0 4 NA 4 
HV 3 3 0.2732 0.0025 3 CO 3 
HC 4 4 0.1566 0.0 4 NA 4 
HC 4 4 0.1561 0.0015 4 NA 4 
HC 4 3 0.191 0.0 4 NA 4 
HC 4 3 0.193 0.0011 3 CO 4 
