ID ERSAdeg ERSArel
00100097 4th NA 
00100096 4th NA 
00100095 2nd HS 
00100094 UN NA 
01001038 UN NA 
06120934 UN NA 
01001030 UN NA 
01001033 UN NA 
10341043 UN NA 
01001035 UN NA 
01001034 UN NA 
01001037 UN NA 
01001036 UN NA 
00030057 UN NA 
00030056 UN NA 
00030055 UN NA 
00030054 UN NA 
01092978 UN NA 
01092979 UN NA 
00030051 UN NA 
00030050 UN NA 
01092974 UN NA 
01092975 UN NA 
01092976 UN NA 
01092977 UN NA 
01092970 UN NA 
01092971 UN NA 
01092972 UN NA 
00030058 UN NA 
22790513 UN NA 
11613103 UN NA 
30240307 UN NA 
30233130 UN NA 
30233131 UN NA 
30240308 UN NA 
30090340 UN NA 
10450989 UN NA 
10450988 UN NA 
10450986 UN NA 
00970901 UN NA 
10450984 UN NA 
10450981 UN NA 
29590313 UN NA 
29590312 UN NA 
29152970 UN NA 
29152971 UN NA 
29590317 UN NA 
29590316 UN NA 
30870655 3rd CO 
29152975 UN NA 
30870659 UN NA 
29590318 UN NA 
30455176 UN NA 
07490820 UN NA 
11613098 UN NA 
11613099 UN NA 
22390648 UN NA 
22390649 UN NA 
22390642 UN NA 
22390643 UN NA 
22390646 UN NA 
22390647 UN NA 
22390644 UN NA 
22390645 UN NA 
29752998 UN NA 
29752999 UN NA 
01825275 UN NA 
03550718 UN NA 
29752992 UN NA 
29752993 UN NA 
29752990 UN NA 
29752991 UN NA 
29752996 UN NA 
29752997 UN NA 
29752995 UN NA 
22003088 UN NA 
22003089 UN NA 
00715075 UN NA 
03590929 UN NA 
22003081 UN NA 
22003082 UN NA 
22003083 UN NA 
22003085 UN NA 
22003086 UN NA 
22003087 UN NA 
00932902 UN NA 
00600865 PO PO 
00600866 2nd HS 
00600869 2nd AV 
00600868 2nd HS 
21612214 UN NA 
21612212 UN NA 
21612213 UN NA 
00125183 UN NA 
00142152 UN NA 
22960520 UN NA 
22960521 UN NA 
00332913 UN NA 
21612219 UN NA 
30010642 3rd CO 
30010643 3rd HV 
30010646 UN NA 
30010647 UN NA 
30010644 UN NA 
30010645 UN NA 
30010648 UN NA 
30010649 UN NA 
01682285 UN NA 
00893069 UN NA 
01682286 UN NA 
01682281 UN NA 
01682283 UN NA 
01682282 UN NA 
00893060 UN NA 
00893061 UN NA 
01682289 UN NA 
00893065 UN NA 
00893066 UN NA 
00423041 UN NA 
00423040 UN NA 
00423043 UN NA 
00423042 UN NA 
03170978 UN NA 
00423044 UN NA 
00423047 UN NA 
00423046 UN NA 
00423049 UN NA 
03170975 UN NA 
00720797 UN NA 
03170970 UN NA 
03170972 UN NA 
31130992 UN NA 
29275042 UN NA 
00560098 UN NA 
31285153 UN NA 
29170442 UN NA 
31103125 UN NA 
00665183 UN NA 
30223089 UN NA 
30223088 UN NA 
30223085 UN NA 
30223087 UN NA 
30223086 UN NA 
30223081 UN NA 
30223080 UN NA 
30223083 UN NA 
30223082 UN NA 
01620625 UN NA 
01620622 UN NA 
30430718 UN NA 
01620620 UN NA 
22860764 UN NA 
03780476 UN NA 
08550911 UN NA 
08550914 UN NA 
00050121 UN NA 
00050120 UN NA 
00050123 UN NA 
00050122 UN NA 
05360678 UN NA 
00050124 UN NA 
00050126 UN NA 
00050129 UN NA 
00050128 UN NA 
05360677 UN NA 
05360672 UN NA 
10343037 UN NA 
10343036 UN NA 
10343035 UN NA 
10343034 UN NA 
10343033 UN NA 
10343032 UN NA 
10343031 UN NA 
10343030 UN NA 
10343039 UN NA 
10343038 UN NA 
30270779 UN NA 
29840941 UN NA 
30270773 UN NA 
30270770 UN NA 
30270776 UN NA 
30270775 UN NA 
22323061 UN NA 
01360622 UN NA 
30610321 UN NA 
01360620 UN NA 
01360625 UN NA 
00172957 UN NA 
00710733 UN NA 
30610328 UN NA 
00710736 UN NA 
00710735 UN NA 
29810622 UN NA 
31030834 UN NA 
29810620 UN NA 
10363058 UN NA 
00660978 UN NA 
29810625 UN NA 
00660975 UN NA 
22340816 UN NA 
10363050 UN NA 
10363057 UN NA 
00660970 UN NA 
10363055 UN NA 
10363054 UN NA 
01823097 UN NA 
01823096 UN NA 
10450834 UN NA 
01823093 UN NA 
04465042 UN NA 
00310379 UN NA 
00310378 UN NA 
00310376 UN NA 
00310374 UN NA 
00310373 UN NA 
00310372 UN NA 
31280941 UN NA 
00310370 UN NA 
22243086 UN NA 
22243087 UN NA 
22243085 UN NA 
22243082 UN NA 
22243083 UN NA 
22243080 UN NA 
22243081 UN NA 
22243088 UN NA 
22243089 UN NA 
29625209 UN NA 
10420941 UN NA 
05300856 UN NA 
05300857 UN NA 
05300855 UN NA 
10350328 UN NA 
28023006 UN NA 
10350320 UN NA 
10350321 UN NA 
31110333 UN NA 
29260467 UN NA 
29260466 UN NA 
31110337 UN NA 
00410528 UN NA 
29490986 UN NA 
00335075 UN NA 
29430773 UN NA 
01282802 UN NA 
07360773 UN NA 
00022948 UN NA 
00023009 UN NA 
00023008 UN NA 
29765176 UN NA 
29765177 UN NA 
00023003 UN NA 
00023002 UN NA 
00023005 UN NA 
00023007 UN NA 
00023006 UN NA 
01143056 UN NA 
01143057 UN NA 
