               PAIR_ID        IID1        H1        IID2        H2       HSR   N
  SampleAA10_SampleAA7  SampleAA10  0.938251   SampleAA7  0.673158  0.717460  40
   SampleAA7_SampleAB0   SampleAA7  0.756442   SampleAB0  0.825199  0.916679  16
   SampleAA7_SampleAB1   SampleAA7  0.939160   SampleAB1  0.781537  0.832166  14
   SampleAA7_SampleAB2   SampleAA7  0.655254   SampleAB2  0.687219  0.953486  20
   SampleAA7_SampleAB4   SampleAA7  0.663981   SampleAB4  0.730121  0.909413  18
   SampleAA0_SampleAB5   SampleAA0  0.790065   SampleAB5  0.767909  0.971958  19
   SampleAA0_SampleAB6   SampleAA0  0.955667   SampleAB6  0.959965  0.995522  13
   SampleAA0_SampleAB7   SampleAA0  0.706545   SampleAB7  0.645294  0.913310  19
   SampleAA0_SampleAB8   SampleAA0  0.754882   SampleAB8  0.777209  0.971273  18
   SampleAA0_SampleAB9   SampleAA0  0.765261   SampleAB9  0.783377  0.976875  16
  SampleAA0_SampleAB10   SampleAA0  0.810862  SampleAB10  0.815068  0.994839  18
   SampleAA0_SampleAC0   SampleAA0  0.710601   SampleAC0  0.669082  0.941572  23
   SampleAA0_SampleAC1   SampleAA0  0.825055   SampleAC1  0.751957  0.911402  14
   SampleAA1_SampleAB5   SampleAA1  0.777240   SampleAB5  0.756456  0.973259  22
   SampleAA1_SampleAB6   SampleAA1  0.833846   SampleAB6  0.731138  0.876826  23
   SampleAA1_SampleAB7   SampleAA1  0.844442   SampleAB7  0.797429  0.944327  17
   SampleAA1_SampleAB8   SampleAA1  0.732815   SampleAB8  0.762858  0.960617  31
   SampleAA1_SampleAB9   SampleAA1  0.826594   SampleAB9  0.856410  0.965186  17
  SampleAA1_SampleAB10   SampleAA1  0.945767  SampleAB10  0.875308  0.925500  19
   SampleAA1_SampleAC0   SampleAA1  0.713071   SampleAC0  0.746429  0.955310  20
   SampleAA1_SampleAC1   SampleAA1  0.818249   SampleAC1  0.842792  0.970878  11
   SampleAA3_SampleAB5   SampleAA3  0.781670   SampleAB5  0.817671  0.955971  25
   SampleAA3_SampleAB6   SampleAA3  0.801996   SampleAB6  0.876707  0.914783  18
   SampleAA3_SampleAB7   SampleAA3  0.931932   SampleAB7  0.890521  0.955565  20
   SampleAA3_SampleAB8   SampleAA3  0.830109   SampleAB8  0.891274  0.931373  21
   SampleAA3_SampleAB9   SampleAA3  0.926496   SampleAB9  0.836499  0.902863  21
  SampleAA3_SampleAB10   SampleAA3  0.807485  SampleAB10  0.737109  0.912845  18
   SampleAA3_SampleAC0   SampleAA3  0.687084   SampleAC0  0.878314  0.782276  21
   SampleAA3_SampleAC1   SampleAA3  0.888801   SampleAC1  0.911337  0.975271  16
   SampleAA4_SampleAB6   SampleAA4  0.755775   SampleAB6  0.810683  0.932269  18
   SampleAA4_SampleAB7   SampleAA4  0.831224   SampleAB7  0.721434  0.867918  16
   SampleAA4_SampleAB8   SampleAA4  0.847248   SampleAB8  0.710020  0.838031  23
   SampleAA4_SampleAB9   SampleAA4  0.767093   SampleAB9  0.867687  0.884066  17
  SampleAA4_SampleAB10   SampleAA4  0.756174  SampleAB10  0.882036  0.857305  19
   SampleAA4_SampleAC0   SampleAA4  0.918740   SampleAC0  0.931629  0.986165  18
   SampleAA4_SampleAC1   SampleAA4  0.801567   SampleAC1  0.801567  1.000000  15
   SampleAA5_SampleAB5   SampleAA5  0.840631   SampleAB5  0.671606  0.798931  16
   SampleAA5_SampleAB6   SampleAA5  0.901523   SampleAB6  0.891492  0.988873  14
   SampleAA5_SampleAB7   SampleAA5  0.811872   SampleAB7  0.662858  0.816456  15
   SampleAA5_SampleAB8   SampleAA5  0.855140   SampleAB8  0.880169  0.971564  15
   SampleAA5_SampleAB9   SampleAA5  0.868249   SampleAB9  0.784370  0.903393  11
  SampleAA5_SampleAB10   SampleAA5  0.810560  SampleAB10  0.750016  0.925306  17
   SampleAA5_SampleAC0   SampleAA5  0.838356   SampleAC0  0.781103  0.931708  18
   SampleAA6_SampleAB5   SampleAA6  0.768860   SampleAB5  0.817214  0.940830  24
   SampleAA6_SampleAB6   SampleAA6  0.741075   SampleAB6  0.948714  0.781137  19
   SampleAA6_SampleAB7   SampleAA6  0.742444   SampleAB7  0.745665  0.995681  21
   SampleAA6_SampleAB8   SampleAA6  0.842957   SampleAB8  0.953459  0.884104  12
   SampleAA6_SampleAB9   SampleAA6  0.786796   SampleAB9  0.822918  0.956104  25
  SampleAA6_SampleAB10   SampleAA6  0.762976  SampleAB10  0.850435  0.897159  24
   SampleAA6_SampleAC0   SampleAA6  0.777916   SampleAC0  0.810887  0.959339  17
   SampleAA6_SampleAC1   SampleAA6  0.882132   SampleAC1  0.837310  0.949189  14
   SampleAA7_SampleAB5   SampleAA7  0.785079   SampleAB5  0.855365  0.917829  19
   SampleAA7_SampleAB6   SampleAA7  0.682983   SampleAB6  0.759436  0.899330  19
   SampleAA7_SampleAB7   SampleAA7  0.762832   SampleAB7  0.794940  0.959609  16
   SampleAA7_SampleAB8   SampleAA7  0.803404   SampleAB8  0.768947  0.957111  24
   SampleAA7_SampleAB9   SampleAA7  0.736578   SampleAB9  0.933552  0.789006  16
  SampleAA7_SampleAB10   SampleAA7  0.739839  SampleAB10  0.853605  0.866723  14
   SampleAA7_SampleAC0   SampleAA7  0.839543   SampleAC0  0.868052  0.967157  20
   SampleAA7_SampleAC1   SampleAA7  0.942351   SampleAC1  0.874472  0.927968  11
   SampleAA0_SampleAC2   SampleAA0  0.833726   SampleAC2  0.814741  0.977228  14
   SampleAA0_SampleAC3   SampleAA0  0.901299   SampleAC3  0.848502  0.941421  13
   SampleAA0_SampleAC4   SampleAA0  0.681252   SampleAC4  0.767048  0.888148  21
   SampleAA0_SampleAC5   SampleAA0  0.711648   SampleAC5  0.862934  0.824684  23
   SampleAA0_SampleAC6   SampleAA0  0.806428   SampleAC6  0.748250  0.927858  21
   SampleAA0_SampleAC7   SampleAA0  0.715224   SampleAC7  0.795322  0.899289  19
   SampleAA0_SampleAC8   SampleAA0  0.938621   SampleAC8  0.879079  0.936565  12
   SampleAA0_SampleAC9   SampleAA0  0.733836   SampleAC9  0.874162  0.839473  22
   SampleAA1_SampleAC2   SampleAA1  0.776279   SampleAC2  0.846903  0.916608  13
   SampleAA1_SampleAC3   SampleAA1  0.652453   SampleAC3  0.709844  0.919150  28
   SampleAA1_SampleAC4   SampleAA1  0.670467   SampleAC4  0.867490  0.772882  22
   SampleAA1_SampleAC6   SampleAA1  0.884360   SampleAC6  0.893213  0.990089  20
   SampleAA3_SampleAC2   SampleAA3  0.852865   SampleAC2  0.690936  0.810134  16
   SampleAA3_SampleAC3   SampleAA3  0.847688   SampleAC3  0.843313  0.994838  17
   SampleAA3_SampleAC4   SampleAA3  0.770353   SampleAC4  0.905940  0.850335  20
   SampleAA3_SampleAC5   SampleAA3  0.772641   SampleAC5  0.871088  0.886984  19
   SampleAA3_SampleAC6   SampleAA3  0.746089   SampleAC6  0.874148  0.853504  21
   SampleAA3_SampleAC7   SampleAA3  0.829498   SampleAC7  0.725719  0.874890  13
   SampleAA3_SampleAC8   SampleAA3  0.732167   SampleAC8  0.783839  0.934079  12
   SampleAA3_SampleAC9   SampleAA3  0.725858   SampleAC9  0.920438  0.788601  15
   SampleAA4_SampleAC2   SampleAA4  0.812663   SampleAC2  0.694777  0.854939  19
   SampleAA4_SampleAC3   SampleAA4  0.704909   SampleAC3  0.869144  0.811038  18
   SampleAA4_SampleAC4   SampleAA4  0.807725   SampleAC4  0.832268  0.970511  19
   SampleAA4_SampleAC5   SampleAA4  0.910584   SampleAC5  0.885199  0.972122  19
   SampleAA4_SampleAC6   SampleAA4  0.772888   SampleAC6  0.752688  0.973864  19
   SampleAA4_SampleAC7   SampleAA4  0.794078   SampleAC7  0.800319  0.992202  17
   SampleAA4_SampleAC8   SampleAA4  0.942587   SampleAC8  0.869973  0.922963  13
   SampleAA4_SampleAC9   SampleAA4  0.847099   SampleAC9  0.927401  0.913412  21
   SampleAA5_SampleAC2   SampleAA5  0.824302   SampleAC2  0.692919  0.840613  16
   SampleAA5_SampleAC3   SampleAA5  0.834863   SampleAC3  0.845188  0.987783  13
   SampleAA5_SampleAC4   SampleAA5  0.809775   SampleAC4  0.745148  0.920191  17
   SampleAA5_SampleAC5   SampleAA5  0.817703   SampleAC5  0.745358  0.911527  20
   SampleAA5_SampleAC6   SampleAA5  0.828184   SampleAC6  0.793435  0.958043  24
   SampleAA5_SampleAC8   SampleAA5  0.855128   SampleAC8  0.849964  0.993961  14
   SampleAA5_SampleAC9   SampleAA5  0.873270   SampleAC9  0.966975  0.903095  15
   SampleAA6_SampleAC2   SampleAA6  0.852484   SampleAC2  0.683547  0.801829  17
   SampleAA6_SampleAC3   SampleAA6  0.822873   SampleAC3  0.943006  0.872607   9
   SampleAA6_SampleAC4   SampleAA6  0.832619   SampleAC4  0.829543  0.996306  15
   SampleAA6_SampleAC5   SampleAA6  0.730671   SampleAC5  0.860360  0.849262  15
   SampleAA6_SampleAC6   SampleAA6  0.734259   SampleAC6  0.756177  0.971014  20
   SampleAA6_SampleAC7   SampleAA6  0.961561   SampleAC7  0.860050  0.894431  15
   SampleAA6_SampleAC8   SampleAA6  0.922382   SampleAC8  0.811731  0.880037  17
